model_id,task_id,correctness_0_to_2,relevance_0_to_2,factual_claims,hallucinated_claims,reviewer_notes
codellama_7b,REP-001,2,1,6,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-002,1,1,10,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-003,1,2,8,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-004,1,1,9,5,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-005,2,1,7,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-006,1,2,13,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-007,0,0,11,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,REP-008,1,2,10,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-001,1,1,10,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
qwen25_coder_3b,REP-002,0,1,9,0,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
