model_id,task_id,correctness_0_to_2,relevance_0_to_2,factual_claims,hallucinated_claims,reviewer_notes
codellama_7b,MED-001,1,1,6,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-002,0,2,7,2,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-003,1,1,8,5,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-004,0,0,7,6,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-005,1,2,7,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-006,1,1,9,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-007,0,2,6,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-008,0,2,4,1,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-009,0,2,7,3,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
codellama_7b,MED-010,0,2,8,4,"Rule-based evidence adjudication: correctness uses required-fact coverage (>=0.75 strong, >=0.40 partial) or abstention accuracy; relevance uses the same bands; hallucination counts are sentences with <0.35 lexical overlap to every retrieved chunk. Not a human review."
